Caller,Time
StartRecord,302163538
GenerateGraph,4749970
GenerateTriangles,3870697
GenerateColorArray,663067
GenerateUV,114780732
SpawnPlants,2285574
SpawnObjects,11466
StartRecord,303485765
GenerateGraph,4665817
GenerateTriangles,2983299
GenerateColorArray,568265
GenerateUV,118885854
SpawnPlants,2131821
SpawnObjects,12289
StartRecord,15505294
GenerateGraph,4579854
GenerateTriangles,2265578
GenerateColorArray,441720
GenerateUV,122803359
SpawnPlants,2011209
SpawnObjects,12092
CalcWater,34487929
CalcWater,34882539
CalcWater,35430260
CalcWater,34702666
StartRecord,16351678
GenerateGraph,4620062
GenerateTriangles,2355982
GenerateColorArray,431362
GenerateUV,116277374
SpawnPlants,2077738
SpawnObjects,11455
